"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16956","Cab booking with Excel data for Airport Pickup and Drop","","Mon Sep 01 16:47:24 IST 2025","passed","Mon Sep 01 16:47:41 IST 2025","","Searching for Airport Cab details in EaseMyTrip Website","Cab booking with Excel data for Airport Pickup and Drop",""
"","1","setUpClass","Suite","Mon Sep 01 16:49:37 IST 2025","broken","Mon Sep 01 16:49:37 IST 2025","com.emt.runners.TestRunner","Chrome","com.emt.runners.TestRunner","setUpClass"
"","8191","validating the giftcards by giving Email and Mobile Number","","Mon Sep 01 16:49:03 IST 2025","passed","Mon Sep 01 16:49:11 IST 2025","","Searching for Giftards details on EaseMyTrip","validating the giftcards by giving Email and Mobile Number",""
"","8760","Cab booking with Excel data for Airport Pickup and Drop","","Mon Sep 01 16:47:41 IST 2025","passed","Mon Sep 01 16:47:50 IST 2025","","Searching for Airport Cab details in EaseMyTrip Website","Cab booking with Excel data for Airport Pickup and Drop",""
"","8073","validating the giftcards by giving Email and Mobile Number","","Mon Sep 01 16:49:11 IST 2025","passed","Mon Sep 01 16:49:20 IST 2025","","Searching for Giftards details on EaseMyTrip","validating the giftcards by giving Email and Mobile Number",""
"","10118","Book Outstation with one-way trip","","Mon Sep 01 16:47:50 IST 2025","passed","Mon Sep 01 16:48:00 IST 2025","","Searching for Outstation Cab details on EaseMyTrip","Book Outstation with one-way trip",""
"","8782","Fetching the hotels available for filterd options","","Mon Sep 01 16:48:45 IST 2025","passed","Mon Sep 01 16:48:54 IST 2025","","Searching for Hotel details on EaseMyTrip","Fetching the hotels available for filterd options",""
"","9634","Book hourly rental with time, date and SUV filter","","Mon Sep 01 16:48:11 IST 2025","passed","Mon Sep 01 16:48:21 IST 2025","","Searching for Hourly Cab details on EaseMyTrip","Book hourly rental with time, date and SUV filter",""
"","4351","Validating field level functionality of City Text box","","Mon Sep 01 16:48:21 IST 2025","passed","Mon Sep 01 16:48:25 IST 2025","","Search Activities on EaseMyTrip","Validating field level functionality of City Text box",""
"","20105","Selecting city, date and filtering day trips","","Mon Sep 01 16:48:25 IST 2025","passed","Mon Sep 01 16:48:45 IST 2025","","Search Activities on EaseMyTrip","Selecting city, date and filtering day trips",""
"","9141","validating the giftcards by giving Email and Mobile Number","","Mon Sep 01 16:48:54 IST 2025","passed","Mon Sep 01 16:49:03 IST 2025","","Searching for Giftards details on EaseMyTrip","validating the giftcards by giving Email and Mobile Number",""
"","11434","Book Outstation for round-way trip","","Mon Sep 01 16:48:00 IST 2025","passed","Mon Sep 01 16:48:11 IST 2025","","Searching for Outstation Cab details on EaseMyTrip","Book Outstation for round-way trip",""
